City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
518,akyab,20.15,92.9,26.65,49,0,1.42,MM,1679799405
519,kisumu,-0.1022,34.7617,19.21,82,100,1.77,KE,1679799672
520,alexandria,31.2156,29.9553,14.3,76,0,6.07,EG,1679799420
521,san patricio,28.017,-97.5169,23.8,39,0,3.04,US,1679799683
522,oranjemund,-28.55,16.4333,16.88,91,1,3.78,NA,1679799686
523,burns lake,54.2331,-125.7533,4.68,93,99,0.48,CA,1679799692
524,ulaanbaatar,47.9077,106.8832,-0.93,37,0,1.0,MN,1679799695
525,vikhorevka,56.1201,101.1636,0.77,93,100,4.2,RU,1679799696
526,ust-nera,64.5667,143.2,-15.9,92,83,2.99,RU,1679799696
527,kalundborg,55.6795,11.0886,5.74,91,99,8.44,DK,1679799697
528,stokmarknes,68.5646,14.9108,-4.01,80,100,3.6,NO,1679799698
529,uyuni,-20.4597,-66.825,12.15,57,100,6.67,BO,1679799698
530,kirakira,-10.4544,161.9205,29.81,68,76,1.78,SB,1679799699
531,madimba,-10.4,40.3333,23.88,94,98,3.0,TZ,1679799699
532,marsh harbour,26.5412,-77.0636,24.31,81,0,2.28,BS,1679799700
533,yumen,40.2833,97.2,8.69,16,0,2.23,CN,1679799701
534,mitu,1.1983,-70.1733,22.59,96,96,0.68,CO,1679799641
535,ogbomosho,8.133,4.25,23.51,90,60,1.84,NG,1679799702
536,goderich,43.7501,-81.7165,2.17,86,100,10.29,CA,1679799703
537,grindavik,63.8424,-22.4338,-1.03,80,0,2.57,IS,1679799704
538,sayyan,15.1718,44.3244,15.02,50,95,0.07,YE,1679799705
539,ahuimanu,21.4447,-157.8378,27.64,76,54,2.68,US,1679799705
540,tupik,54.4253,119.9327,-5.09,84,89,1.44,RU,1679799706
541,manavalakurichi,8.1333,77.3,28.41,67,1,0.93,IN,1679799707
542,jibuti,11.5,42.5,22.98,84,51,4.92,DJ,1679799707
543,aquiles serdan,17.7833,-92.2833,26.86,77,0,0.48,MX,1679799708
544,ust-maya,60.4167,134.5333,-3.28,86,100,4.31,RU,1679799708
545,kyaukse,21.6,96.1333,28.0,44,20,1.03,MM,1679799709
546,maiduguri,11.8464,13.1603,23.36,16,98,3.31,NG,1679799710
547,cockburn town,21.4612,-71.1419,25.28,77,3,10.17,TC,1679799710
548,copiapo,-27.3667,-70.3333,16.83,73,0,0.57,CL,1679799711
549,lasa,46.6166,10.7002,3.35,65,67,0.7,IT,1679799712
550,pisco,-13.7,-76.2167,23.03,83,20,5.14,PE,1679799712
551,sakakah,29.9697,40.2064,14.76,65,3,6.0,SA,1679799713
552,cravo norte,6.3017,-70.2041,30.16,47,90,3.86,CO,1679799713
553,at-bashi,41.1702,75.8106,-3.11,74,12,0.46,KG,1679799714
554,makakilo city,21.3469,-158.0858,26.98,67,47,3.7,US,1679799714
555,sur,22.5667,59.5289,23.51,65,0,4.12,OM,1679799715
556,avera,33.194,-82.5271,21.03,90,0,4.58,US,1679799716
557,paita,-5.0892,-81.1144,26.52,78,55,5.68,PE,1679799717
558,anaco,9.4389,-64.4728,25.65,62,100,4.56,VE,1679799717
559,guerrero,17.6667,-100.0,19.8,79,68,2.73,MX,1679799718
560,tullow,52.8003,-6.7369,8.47,94,98,3.64,IE,1679799719
561,qazanbulaq,40.6192,46.6519,9.5,68,55,0.34,AZ,1679799719
